Rank	Word	Frequency	Frequency per million	Zipf value
318	parto	54	121.8904	5.086
318	sidas	54	121.8904	5.086
318	sinjoroj	54	121.8904	5.086
318	strange	54	121.8904	5.086
318	vilaĝo	54	121.8904	5.086
319	atingis	53	119.6332	5.0779
319	demono	53	119.6332	5.0779
319	haku	53	119.6332	5.0779
319	helpo	53	119.6332	5.0779
319	kaptu	53	119.6332	5.0779
319	plaĉas	53	119.6332	5.0779
319	provis	53	119.6332	5.0779
319	rekte	53	119.6332	5.0779
319	serĉi	53	119.6332	5.0779
319	trafis	53	119.6332	5.0779
319	viva	53	119.6332	5.0779
319	vizaĝon	53	119.6332	5.0779
319	ĝardeno	53	119.6332	5.0779
320	aŭskultas	52	117.3759	5.0696
320	batali	52	117.3759	5.0696
320	bebo	52	117.3759	5.0696
320	bele	52	117.3759	5.0696
320	domon	52	117.3759	5.0696
320	festo	52	117.3759	5.0696
320	filon	52	117.3759	5.0696
320	flanko	52	117.3759	5.0696
320	knabinoj	52	117.3759	5.0696
320	malgranda	52	117.3759	5.0696
320	maljuna	52	117.3759	5.0696
320	mil	52	117.3759	5.0696
320	montri	52	117.3759	5.0696
320	pafu	52	117.3759	5.0696
320	porti	52	117.3759	5.0696
320	rakontis	52	117.3759	5.0696
320	tribo	52	117.3759	5.0696
320	tuŝu	52	117.3759	5.0696
321	atendis	51	115.1187	5.0611
321	esperanto	51	115.1187	5.0611
321	finis	51	115.1187	5.0611
321	fiulo	51	115.1187	5.0611
321	fraŭlino	51	115.1187	5.0611
321	grandaj	51	115.1187	5.0611
321	hm	51	115.1187	5.0611
321	karulo	51	115.1187	5.0611
321	kristo	51	115.1187	5.0611
321	kulpas	51	115.1187	5.0611
321	memoru	51	115.1187	5.0611
321	proksime	51	115.1187	5.0611
321	promesis	51	115.1187	5.0611
321	propran	51	115.1187	5.0611
321	unuan	51	115.1187	5.0611
321	vortoj	51	115.1187	5.0611
322	finiĝis	50	112.8615	5.0525
322	freneza	50	112.8615	5.0525
322	horoj	50	112.8615	5.0525
322	instruisto	50	112.8615	5.0525
322	kuracisto	50	112.8615	5.0525
322	lernis	50	112.8615	5.0525
322	manĝis	50	112.8615	5.0525
322	metis	50	112.8615	5.0525
322	nomas	50	112.8615	5.0525
322	pasis	50	112.8615	5.0525
